company,city,website,founder_name,founder_contact_masked,source,source_page,also_seen_in,founder_snippet,email,phone,website_source
Apheros AG,,https://www.apheros.ch,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,0735532278,
Borobotics GmbH,,https://www.borobotics.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,email@example.com,+41589344953,
Caterra AG,,https://caterra.org,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,user@domain.com,0492864364,
Cellvie AG,,https://cellvie.bio,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,eutic Mitocondria Transplantation reaches patients in need. Founders Dr. Alex Schueller BIOGRAPHY Dr. James McCully BIOG,NOT FOUND,NOT FOUND,
Crypto Pharma GmbH,,https://crypto-pharma.ch,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,+41 79 592 70 01,
CSky SA,,https://fr.csky.ai,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"orci luctus et ultrices posuere cubilia curae.
Mae John Doe CEO Integer rutrum ante et nunc venenatis, id ultricies risu",NOT FOUND,NOT FOUND,
DePoly SA,,https://fr.depoly.co/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Gapfruit AG,,https://www.gapfruit.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,long-term operation for critical environments. Josef Krojer CEO READ MORE READ MORE READ MORE In a blog post Device Insi,news@gapfruit.com,00927734 75,
Haya Therapeutics SA,,https://www.hayatx.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@hayatx.com,NOT FOUND,
HeroSupport SA,,https://www.herosupport.care,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,contact@herosupport.ch,NOT FOUND,
INERGIO Technologies SA,,https://inergio.ch,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@inergio.com,0715968821,
Isochronic AG,,https://isochronic.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@isochronic.com,+41215399999,
Kairos Medical AG,,https://kairosmedical.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@kairosmedical.ch,NOT FOUND,
Lightium AG,,https://lightium.co/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,+41764401213,
Medirapp AG,,https://medirapp.ai,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,6cd2c5cc987a40d98e4251a3f927fa2a@medirapp.ai,NOT FOUND,
Mimic robotics AG,,https://www.mimicrobotics.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,email@example.com,NOT FOUND,
MindMetrix AG,,https://www.mindmetrix.ch,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,welcome@mindmetrix.ch,0531445389,
Nagi Bioscience SA,,https://nagibio.ch,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"and prioritize our therapeutic strategy. Irina Fingerhut Co-Founder/Sole Director, ElixIRA Pharma AG Customer Spotlights",info@nagibio.ch,NOT FOUND,
Neur.on AI Solutions SA,,https://neur-on.ai/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,take control of the translation process. Paula Reichenberg Founder Meet Our Clients What differentiates Neur.on’s suite,NOT FOUND,0705882353,
Noriware AG,,https://www.noriware.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"noriware team Lucian Zweifel R&D Lead LinkedIn Krishank Rao Founder's Associate LinkedIn Stefan Grieder COO, Cofounder L",NOT FOUND,NOT FOUND,
NovaGo Therapeutics AG,,https://www.novagotherapeutics.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@novagotx.com,NOT FOUND,
NovoMOF AG,,https://novomof.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,o leading MOF researchers and market players. Daniel Steitz Founder & CEO Dr. Charles Toft CTO Wilhelm Steitz CFO Timo S,info@novoMOF.com,0746872065,
Oxara AG,,https://oxara.earth,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"ucts: CREABETON reports on Oulesse® in use Christoph Duijts CEO, KIBAG Oulesse® concrete is a milestone in construction",NOT FOUND,0207397981,
Oxyle AG,,https://oxyle.ch/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"ed 1M+ Liters of 
PFAS-contaminated 
water treated Meet our founders Learn what inspired Fajer and Silvan to found Oxyle",NOT FOUND,NOT FOUND,
Planeto SA,,https://www.planeto-energy.ch/fr/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@planeto-energy.ch,+41764084402,
ReoR20 AG,,https://www.reor20.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Swiss-Mile Robotics AG,,https://www.swiss-mile.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Synendos Therapeutics AG,,https://www.synendos.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"ty Disorder Press Release September 2025 Dr. Andrea Chicca, CEO, shares the highly promising results from Synendos Phase",info@synendos.com,00000026 50,
Tune Insight SA,,https://tuneinsight.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,Home About us About us Our Manifesto Our Missions Meet the Founders Inside Tune Insight You are You are Health center N,NOT FOUND,0842686819,
Ucentrics AG,,https://www.ucentrics.com/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"nd perform flawlessly. Contact us Dr. Amir Golshani CEO, Co-Founder 20+ yrs | Strategy, operations, biz dev | C-level &",NOT FOUND,NOT FOUND,
Unbound Potential GmbH,,https://www.unbound-potential.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,"the City of Zürich, as well as our first equity investors, Founderful and Kvanted, who share our vision of truly scalab",info@unbound-potential.com,NOT FOUND,
Versics AG,,https://versics.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,NOT FOUND,
Vyzn AG,,https://www.vyzn.tech,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,info@vyzn.tech,NOT FOUND,
Yeastup AG,,https://www.yeastup.com,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,0101016441,
Adastra Sustainability SA,,https://www.adastra.eco/,,,Innosuisse,https://www.innosuisse.admin.ch/en/approved-start-up-innovation-projects,,NOT FOUND,NOT FOUND,0000610351,
