company,pages_discovered,pages_crawled,max_depth_reached,products_found,services_found,technologies_found,leadership_found,contact_found,hiring_found
Apheros AG,0,1,0,Y,N,N,N,Y,N
Borobotics GmbH,12,12,2,Y,Y,Y,N,Y,Y
Caterra AG,10,11,1,Y,Y,Y,N,Y,Y
Cellvie AG,19,12,2,Y,Y,Y,Y,Y,Y
Crypto Pharma GmbH,1,2,1,Y,Y,Y,N,Y,N
CSky SA,15,12,2,Y,Y,Y,Y,Y,N
DePoly SA,0,0,0,N,N,N,N,Y,N
Gapfruit AG,26,12,2,Y,Y,Y,N,Y,Y
Haya Therapeutics SA,15,12,2,Y,Y,Y,Y,Y,Y
HeroSupport SA,2,3,1,Y,N,Y,N,Y,N
INERGIO Technologies SA,13,12,1,Y,Y,N,N,Y,N
Isochronic AG,0,1,0,N,N,N,N,Y,N
Kairos Medical AG,0,1,0,Y,Y,N,N,Y,N
Lightium AG,2,3,1,Y,N,N,N,Y,N
Medirapp AG,6,7,1,Y,Y,Y,N,Y,Y
Mimic robotics AG,14,12,1,Y,Y,Y,N,Y,Y
MindMetrix AG,1,2,1,N,Y,N,N,Y,N
Nagi Bioscience SA,54,12,1,Y,Y,Y,Y,Y,N
Neur.on AI Solutions SA,7,7,2,Y,Y,Y,Y,Y,N
Noriware AG,0,1,0,Y,N,N,N,Y,N
NovaGo Therapeutics AG,9,10,2,N,N,Y,Y,Y,N
NovoMOF AG,36,12,2,Y,Y,N,Y,Y,N
Oxara AG,52,12,2,Y,N,N,N,Y,N
Oxyle AG,0,1,0,N,N,N,N,Y,N
Planeto SA,51,12,2,Y,Y,N,N,Y,N
ReoR20 AG,0,1,0,N,N,N,N,Y,N
Swiss-Mile Robotics AG,0,0,0,N,N,N,N,Y,N
Synendos Therapeutics AG,29,12,2,Y,Y,Y,Y,Y,N
Tune Insight SA,35,12,2,Y,Y,Y,Y,Y,N
Ucentrics AG,7,8,1,Y,Y,Y,Y,Y,Y
Unbound Potential GmbH,7,8,2,Y,Y,Y,Y,Y,Y
Versics AG,0,0,0,N,N,N,N,Y,N
Vyzn AG,58,12,2,Y,Y,Y,Y,Y,N
Yeastup AG,16,12,2,N,N,N,N,Y,Y
Adastra Sustainability SA,3,4,1,Y,N,N,Y,Y,N
Aegis Rider AG,17,12,1,Y,Y,N,Y,Y,N
AICA SA,37,12,2,Y,Y,Y,Y,Y,Y
AI Medical AG,20,12,2,Y,N,Y,N,Y,Y
Akina AG,24,12,1,Y,Y,Y,N,Y,N
Alter Ego Technologies AG,5,6,2,Y,N,N,N,Y,N
Annaida Technologies SA,0,1,0,N,N,N,N,Y,N
Artiria Medical SA,5,6,1,Y,Y,Y,Y,Y,Y
Ascento AG,5,3,1,Y,Y,N,Y,Y,N
ASTRA Therapeutics GmbH,7,8,2,Y,N,N,Y,Y,N
Avelo AG,7,7,1,Y,Y,Y,N,Y,Y
Cellestia Biotech AG,0,0,0,N,N,N,N,Y,N
CondenZero GmbH,17,12,2,N,Y,N,Y,Y,N
Decentralized Intelligence AG,18,12,2,Y,Y,Y,Y,Y,N
DEEPLIGHT SA,11,12,1,Y,N,N,N,Y,Y
Egonym AG,16,12,2,Y,Y,Y,Y,Y,N
FenX AG,9,10,1,N,Y,N,N,Y,Y
Floating Robotics AG,11,12,1,Y,Y,Y,N,Y,Y
Glucoloop AG,7,8,2,Y,Y,Y,Y,Y,N
Irmos technologies AG,11,12,2,Y,Y,Y,N,Y,Y
Jua.ai AG,8,1,0,N,N,N,N,Y,N
LifeMatrix Technologies AG,19,12,2,Y,Y,N,Y,Y,N
Linia AG,0,0,0,N,N,N,N,Y,N
MeduSoil SA,0,1,0,N,Y,N,N,Y,N
Miraex SA,6,6,1,Y,N,N,N,Y,N
Navignostics AG,32,12,2,Y,Y,Y,Y,Y,N
Neutrality Sàrl,5,6,1,Y,Y,Y,Y,Y,N
Rapidata AG,22,12,2,Y,Y,Y,Y,Y,N
Sanetics AG,11,12,2,Y,Y,N,N,Y,N
Seprify AG (Impossible Materials AG),34,12,2,Y,Y,Y,N,Y,Y
SmartHelio Sàrl,0,0,0,N,N,N,N,Y,N
Terapet SA,37,12,2,Y,Y,Y,Y,Y,Y
TOLREMO therapeutics AG,50,12,2,N,N,N,Y,Y,Y
Topadur Pharma AG,5,6,2,Y,N,N,Y,Y,N
