firm,firm_crd,city,state,website
THE SOUL RIDER LLC,299707,,WY,
ACCELERATOR VENTURES,167845,,WY,
"TETON ALPHA MANAGEMENT, LLC",318016,,WY,
SEEKER FINANCIAL LLC,330481,,WY,
"ASCENT EQUITY GROUP, LLC",313365,,WY,
BP INVESTMENT LLC,313561,,WY,
REDPINE PARTNERS LLC,325425,,WY,
PREMIERE DEAL PARTNERS,322812,,WY,
"SCOTT INVESTMENT ADVISORS, L.P.",110466,,WY,
"GRASSROOT, LLC",333852,,WY,
"THISAVROS MANAGEMENT, LLC",294628,,WY,
"TURNER FINANCIAL SERVICES, INC.",142128,,WY,
1955 CAPITAL LLC,282854,,WY,
HUNDERTMARK CAPITAL LLC,321138,,WY,
SAVILE CAPITAL MARKETS LLC,316748,,WY,
DIANA RICHEY,323252,,WY,
"BISHOP, JT",336190,,WY,
AFINITIV LLC,305672,,WY,
"TETON WEALTH MANAGEMENT, INC.",138520,,WY,
SMITH COMPANY FINANCIAL ADVISORS / FUSION FUNDS,125488,,WY,
JUSTICE SETTLEMENT CONSULTING INC.,340024,,WY,
TOCCATA CAPITAL,168265,,WY,
"BOOTPACK FINANCIAL PARTNERS, LLC",310983,,WY,
ACBM MGMT LLC,320636,,WY,
"UNEST SECURITIES, LLC",309955,,WY,
"BEPLAT ASSET MANAGEMENT, INC.",153005,,WY,
BALL & COMPANY,133950,,WY,
INCOME FOCUS PORTFOLIO MANAGEMENT,165477,,WY,
ELEVATED ASSET MANAGEMENT LLC,290067,,WY,
REICHEL MANAGEMENT COMPANY LLC,325495,,WY,
"TCP ASSET MANAGEMENT, LLC",286037,,WY,
SAGE 360 ADVISORS LLC,143680,,WY,
"GOOSE VALLEY CONSULTING, LLC",317449,,WY,
"PRIDE OF THE WEST FINANCIAL, LLC",331990,,WY,
RW BAKER WEALTH MANAGEMENT GROUP LLC,297087,,WY,
"COBURN BARRETT, LLC",166464,,WY,
"CORONADO INVESTMENTS, LLC",111992,,WY,
"FINLAYSON FINANCIAL PLANNING, INC.",165631,,WY,
"CYPRESS CAPITAL MANAGEMENT, LLC",130401,,WY,
BREAKTHROUGH VENTURE CAPITAL LLC,328946,,WY,
REDTAIL MANAGEMENT LLC,338754,,WY,
"AMERICAN WEALTH MANAGEMENT, INC.",25536,,WY,
ANAX FINANCIAL GROUP,336354,,WY,
"MARY J. SPITLER, MS, LLC",113145,,WY,
"GREEN TUATARA ASSET MANAGEMENT, LLC",291977,,WY,
NAVIGATION WEALTH MANAGEMENT,282640,,WY,
GALLATIN WEALTH MANAGEMENT LLC,165344,,WY,
"WYOMING FINANCIAL GROUP, INC.",336340,,WY,
"FUTALEUFU MANAGER, LLC",287774,,WY,
HP WEALTH MANAGEMENT LLC,330115,,WY,
FREMONT FINANCIAL ADVISORS INC.,145865,,WY,
STEADTRUST,334416,,WY,
"SENIOR TAX ADVISORY GROUP, INC.",318058,,WY,
"ALTA PARTNERS MANAGEMENT COMPANY, L.P.",288423,,WY,
SODERLING CAPITAL LLC,307053,,WY,
"FPV MANAGEMENT, LLC",321785,,WY,
"ALTA PARTNERS INVESTMENT MANAGER, L.P.",330780,,WY,
FORTY NORTH WEALTH,290770,,WY,
PRIME MOVERS LAB LLC,299803,,WY,
BANKLESS VENTURES LLC,327311,,WY,
"GREEN RIVER REAL ASSET MANAGEMENT, LLC",331885,,WY,
CANNELL CAPITAL LLC,158371,,WY,
"FRONTIER ASSET MANAGEMENT, LLC",109910,,WY,
SCOTT CAPITAL PARTNERS,166358,,WY,
"HALE FINANCIAL SOLUTIONS, LLC",284620,,WY,
ENCLOSURE ENERGY MANAGEMENT,335570,,WY,
PEAKS INVESTMENT MANAGEMENT,330144,,WY,
FLAT ROCK GLOBAL,288551,,WY,
WATER DOG ASSET MANAGEMENT LLC,281720,,WY,
"HARFST AND ASSOCIATES, INC.",145090,,WY,
"GOLDEN STATE WEALTH MANAGEMENT, LLC",167995,,WY,
"WEALTH DESIGN CONSULTING, LLC",133312,,WY,
"LDVM, LLC",314377,,WY,
PLANNING ALTERNATIVES LTD,110268,,WY,
"DATATRIBE OPPORTUNITIES MANAGEMENT, LLC",316737,,WY,
"BLUE BEAR INVESTMENT GROUP, LLC",308460,,WY,
WYO VC MANAGEMENT I LLC,335106,,WY,
"GRASSHOPPER ESCAPEMENT, LLC",162089,,WY,
GRUPP FINANCIAL LLC,168436,,WY,
"WYOU FINANCIAL STRATEGIES, LLC",325159,,WY,
NET INCOME LLC,282066,,WY,
ARIMATHEA,330140,,WY,
TWO PUNKS CAPITAL LLC,317789,,WY,
INTEGRITY FINANCIAL CORPORATION,137125,,WY,
COPPERLINE WEALTH MANAGEMENT & PLANNING,335796,,WY,
"DAI WEALTH, LLC",138938,,WY,
ELM WEALTH,167225,,WY,
"LASALLE ST. INVESTMENT ADVISORS, L.L.C.",109701,,WY,
"ORR, BRAD L.",140093,,WY,
"GREYBULL ADVISORS, LLC",317767,,WY,
FOUNDERS EQUITY PARTNERS,282022,,WY,
PINGORA PARTNERS LLC,148262,,WY,
REMBRANDT VENTURE PARTNERS,160155,,WY,
"LAWRENCE CAPITAL MANAGEMENT, INC.",106123,,WY,
STRATEGIC ADVISERS LLC,104555,,WY,
FIDELIS WEALTH ADVISORS,292551,,WY,
NEMO CAPITAL,301309,,WY,
"TLG ADVISORS, INC.",111052,,WY,
ROCKEFELLER CAPITAL MANAGEMENT,294197,,WY,
FORTITUDE ADVISORY GROUP L.L.C.,116083,,WY,
THE AMERIFLEX GROUP,305585,,WY,
CLEMENTINE MANAGEMENT LLC,323189,,WY,
BASELINE VENTURES,294309,,WY,
POLYGON INVESTMENT MANAGEMENT,123291,,WY,
"ELE ADVISORY SERVICES, INC",148228,,WY,
"MORIN PRIVATE CLIENT GROUP, LLC",154565,,WY,
111 WEST CAPITAL LLC,325776,,WY,
SALUS FINANCIAL ADVISORS,329882,,WY,
"J. W. COLE ADVISORS, INC.",112294,,WY,
"COMPOSITE VENTURES GROUP, LLC",310718,,WY,
WORTHPOINTE,143996,,WY,
LOWERCARBON CAPITAL,162946,,WY,
TRACTION FINANCIAL PARTNERS,315215,,WY,
ROSEMAN WAGNER WEALTH MANAGEMENT,148221,,WY,
"ASCENTIS ASSET MANAGEMENT, LLC",318126,,WY,
PINNACLE WEST ASSET MANAGEMENT INC,106527,,WY,
"UNEST ADVISERS, LLC",308125,,WY,
FIRST MANHATTAN CO. LLC,325281,,WY,
ROBERTSON STEPHENS,289977,,WY,
SNOWDEN CAPITAL ADVISORS LLC,157299,,WY,
SUBFOLIO LLC,304833,,WY,
